Zona ;Nome;Domicilios;Familias;Populacao;RendaTotal;RendaMediaFamiliar;RendaPerCapita;RendaMedianaFamiliar;MatriculasEscolares;Empregos;AutomoveisParticulares;Area;ViagensDeBicicleta
71;Brooklin;11745;11745;28443;85629625;7291;3011;6843;3257;20615;12439;234;1812
72;Vila Cordeiro;3919;3919;10092;28963370;7391;2870;7223;9615;24450;3856;177;1167
73;Berrini;3768;3768;8758;31047343;8240;3545;5968;920;97733;2820;197;2722
74;Campinas;6131;6131;12765;56490863;9214;4425;7624;3250;36233;5494;49;711
75;Pamplona;6836;6836;14277;65987936;9653;4622;7624;1979;12564;7612;51;246
76;Jardins;4291;4291;10908;47487904;11067;4353;8047;1218;23679;5685;238;214
77;Clínicas;10526;10526;21006;83981541;7978;3998;6843;6901;38950;7640;129;669
78;Oscar Freire;9508;9508;20776;62523454;6576;3009;6361;457;24932;7501;100;1244
79;Trianon;5110;5110;10690;39828100;7794;3726;6500;5602;46194;4587;60;594
80;Jardim Paulistano;9193;9193;19691;56301434;6124;2859;4689;3522;27553;6524;99;1157
81;Jardim Europa;4839;4839;12650;61141786;12635;4833;10541;697;41641;6976;308;2048
82;Pinheiros;4937;4937;11262;23241015;4708;2064;4209;12715;75074;3252;203;3241
83;Vila Madalena;9703;9703;22275;73973907;7624;3321;6143;5506;27801;8227;219;1769
84;PUC;7094;7094;16557;71703865;10108;4331;8493;9527;12763;6905;73;232
85;Cardoso de Almeida;1837;1837;5033;19442705;10584;3863;8493;2171;3259;2500;63;69
86;Zequinha de Abreu;1564;1564;3729;11963478;7649;3208;6000;529;3903;1241;50;172
87;Sumaré;6893;6893;16354;55069703;7989;3367;6949;2774;10844;6241;139;841
88;Perdizes;18965;18965;45356;145167501;7655;3201;6843;5280;24113;15820;168;338
89;Vila Anglo Brasileira;5505;5505;13993;40201894;7303;2873;5224;660;5442;5443;79;1015
90;Pompéia;5667;5667;13232;56718677;10009;4286;8000;2745;9741;5543;60;1292
91;Santa Marina;677;677;2350;2404840;3552;1023;2200;18915;24396;351;295;77
92;Barra Funda;107;107;324;540642;5053;1669;4689;1078;12925;77;118;6
93;Francisco Matarazzo;3844;3844;9032;24737342;6435;2739;4908;56838;30495;2946;105;368
94;Água Branca;1660;1660;3993;11198136;6746;2804;5224;4180;19561;1300;71;213
95;Vila Beatriz;6941;6941;17657;51525371;7423;2918;5820;3871;9649;7406;184;295
96;Alto de Pinheiros;2370;2370;7211;28016974;11822;3885;8493;3765;11979;3355;253;505
97;Boaçava;6266;6266;16610;55064339;8788;3315;7223;1638;13939;7688;314;604
98;Vila Anastácio;910;910;2452;4034066;4433;1645;3000;839;8500;568;165;843
99;Lapa de Baixo;3023;3174;8120;15283624;4815;1882;3790;1790;22936;2429;243;333
100;Lapa;7394;7394;19354;50817249;6873;2626;4689;17373;40417;5698;225;1073
101;Vila Ipojuca;8354;8354;21858;62553148;7488;2862;7000;3688;10991;6746;168;53
104;Bela Aliança;2764;2764;7064;24599314;8900;3482;6843;3221;3617;3777;71;472
106;CEASA;1103;1103;3921;2259191;2048;576;2086;54;20954;319;198;1047
107;Vila Leopoldina;5816;5816;15213;53590016;9214;3523;7624;9141;12845;6395;92;174
108;Emissário;1117;1144;3451;4103825;3586;1189;3213;393;15544;674;191;71
109;Vila Zatt;39388;39388;120118;129524429;3288;1078;3044;23983;34385;25736;1220;1129
111;São Domingos;17781;17781;50923;79700744;4482;1565;3300;8321;17727;12680;582;2103
122;Vila Souza;15428;15428;49953;30546821;1980;612;1600;8100;9610;5885;221;485
125;Vila Morro Grande;17246;17573;52600;50875365;2895;967;2600;11264;12370;9401;413;840
126;Itaberaba;11011;11011;34079;43690654;3968;1282;2800;5963;12030;9404;207;770
127;Freguesia do Ó;18734;18734;53941;79732344;4256;1478;4443;12872;19889;14962;486;1768
128;Carandiru;674;674;1794;3701066;5491;2063;4500;3438;13692;420;38;31
130;Zaki Narchi;909;909;3274;2542685;2797;777;2202;934;3859;258;71;71
131;Tietê;433;433;1227;1765434;4077;1439;3400;4405;10907;239;79;1016
133;Alfredo Pujol;13684;13684;36442;96547251;7055;2649;4949;8596;20366;11400;215;94
135;Jardim São Paulo;13643;15632;38163;78038072;4992;2045;4443;8503;17445;9480;291;1271
136;Casa Verde;11225;11225;32570;46970261;4184;1442;3254;10752;23471;8835;325;423
137;Parque Peruche;17062;17062;53439;70240860;4117;1314;3778;7935;20887;11768;392;301
138;Limão;2395;2440;7855;8050503;3299;1025;2700;1290;12057;1466;172;35
139;Jardim Primavera;8140;8140;24309;29712701;3650;1222;3000;6250;14168;4938;193;531
140;Vila Santa Maria;15199;15199;47391;50650792;3333;1069;3000;11154;16237;8582;278;1500
141;Cachoeirinha;26057;26621;79276;96202633;3614;1214;3573;20536;21853;16038;479;1785
145;Horto Florestal;1504;1575;4480;8057632;5117;1799;4443;3544;2392;1398;342;1513
147;Parque Palmas do Tremembé;10874;10874;33902;44642901;4105;1317;3391;4625;13311;8915;407;1513
148;Tremembé;7809;7809;22869;20046654;2567;877;2000;6903;7836;4431;332;350
151;Jardim Guapira;33624;33624;109629;93477957;2780;853;2454;15201;21011;16770;549;1556
152;Parada Inglesa;12154;12154;35169;44538817;3665;1266;3500;12759;14573;6875;243;272
155;Cohab Jova Real;9265;9265;32242;25706247;2775;797;2500;3982;6320;4587;255;423
156;Jaçanã;14464;14464;43910;48106897;3326;1096;3300;12216;17611;11083;386;423
157;Parque Edu Chaves;6230;6230;19629;22004878;3532;1121;3213;4884;6985;2576;110;356
158;Vila Medeiros;19961;19961;60459;83100701;4163;1375;3580;8069;7928;9458;335;356
161;Parque Novo Mundo;14724;14724;47297;38908774;2643;823;2200;6425;33206;8274;551;6112
162;Vila Maria;5467;5467;15842;18935666;3464;1195;3044;22073;17823;3457;234;1192
163;Vila Isolina Mazzei;16125;16125;47519;73999513;4589;1557;3778;6509;17319;13020;380;5606
164;Vila Guilherme;1879;1879;5849;6512056;3466;1113;3500;2435;10506;1182;171;1520
165;Coroa;1075;1075;3184;4227697;3933;1328;3213;3965;14333;603;174;57
167;Tatuapé;6493;6493;17440;31144803;4797;1786;4443;8719;37493;6142;157;660
169;Parque São Jorge;8157;8157;22460;44423972;5446;1978;5224;44340;19028;8769;252;653
170;Penha;11594;11594;34693;40665017;3507;1172;3000;12887;19867;7112;384;838
172;Vila Esperança;9253;9253;26788;39658449;4286;1480;3213;6530;11408;6818;229;902
173;Vila Ré;8982;8982;26818;30053611;3346;1121;2884;4996;9021;4730;208;902
174;Rui Barbosa;15839;16194;48886;45029056;2781;921;2884;14856;10106;8475;271;1014
177;Parque Ecológico do Tietê;3023;3249;10184;7029017;2163;690;2152;538;1894;1260;531;251
180;Ermelino Matarazzo;22958;23550;71109;74811502;3177;1052;2500;11591;14445;17403;449;1510
181;Parque Buturussu;15110;15575;46600;49148287;3156;1055;2500;12626;12719;9224;372;188
182;Ponte Rasa;15499;15499;46946;56148793;3623;1196;3391;9526;17054;11945;365;527
183;Burgo Paulista;13918;13918;43659;43291934;3111;992;2589;12608;7808;8787;292;1948
